"RefDes";"Name";"Pattern";"Center X (mil)";"Center Y (mil)";"Side";"Rotation";"Value"
"C72";"C-EUC0603 (C-EU)";"CAP_0603";"2732.74";"1056.2";"Top";"0.0";"100NF"
"C73";"C-EUC0603 (C-EU)";"CAP_0603";"1504.47";"979.93";"Top";"180.0";"100NF"
"C74";"C-EUC0603 (C-EU)";"CAP_0603";"1653.96";"978.56";"Top";"0.0";"10NF"
"C75";"C-EUC0603 (C-EU)";"CAP_0603";"1924.89";"954.3";"Top";"180.0";"100NF"
"C76";"C-EUC0603 (C-EU)";"CAP_0603";"1545.24";"681.2";"Top";"0.0";"10NF"
"C77";"C-EUC0603 (C-EU)";"CAP_0603";"2037.16";"668.7";"Top";"180.0";"1NF"
"C78";"C-EUC0603 (C-EU)";"CAP_0603";"1549.66";"506.2";"Top";"0.0";"100NF"
"D1";"MB1S";"SOP-4/6.5x2.54";"591.2";"3731.1";"Top";"90.0";""
"FB1";"FERRITE_BEAD_0603 (FERRITE_BEAD)";"WUERTH-ELEKTRONIK_0603";"466.2";"3862.2";"Top";"270.0";"FB"
"FB2";"FERRITE_BEAD_0603 (FERRITE_BEAD)";"WUERTH-ELEKTRONIK_0603";"741.2";"3862.2";"Top";"270.0";"FB"
"J_AUX";"EURO_JACKS_SMALL_SILK (EURO_JACK)";"Thonkiconn";"2978.7";"1096.7";"Bottom";"0.0";"Eurorack Jack"
"J_DENS";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"2178.7";"1096.7";"Bottom";"0.0";"Eurorack Jack"
"J_FDBK";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"1681.7";"1543.7";"Bottom";"270.0";"Eurorack Jack"
"J_HOLD";"EURO_JACKS_SMALL_SILK (EURO_JACK)";"Thonkiconn";"1378.7";"665.7";"Bottom";"180.0";"Eurorack Jack"
"J_I-LVL";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"3378.7";"1096.7";"Bottom";"0.0";"Eurorack Jack"
"J_LIN";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"3378.7";"665.7";"Bottom";"180.0";"Eurorack Jack"
"J_LOUT";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"978.7";"665.7";"Bottom";"180.0";"Eurorack Jack"
"J_MIX";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"2781.7";"1543.7";"Bottom";"270.0";"Eurorack Jack"
"J_O-LVL";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"578.7";"1096.7";"Bottom";"0.0";"Eurorack Jack"
